Gordon_Parcel,Hemisphere,Network,Network_Parcel#
11,L,None,None_1
18,L,None,None_2
19,L,None,None_3
73,L,None,None_4
115,L,None,None_5
118,L,None,None_6
119,L,None,None_7
120,L,None,None_8
121,L,None,None_9
122,L,None,None_10
123,L,None,None_11
124,L,None,None_12
125,L,None,None_13
128,L,None,None_14
129,L,None,None_15
133,L,None,None_16
134,L,None,None_17
135,L,None,None_18
142,L,None,None_19
144,L,None,None_20
159,L,None,None_21
172,R,None,None_22
178,R,None,None_23
179,R,None,None_24
280,R,None,None_25
281,R,None,None_26
282,R,None,None_27
283,R,None,None_28
284,R,None,None_29
285,R,None,None_30
286,R,None,None_31
287,R,None,None_32
288,R,None,None_33
289,R,None,None_34
291,R,None,None_35
292,R,None,None_36
296,R,None,None_37
297,R,None,None_38
300,R,None,None_39
301,R,None,None_40
302,R,None,None_41
303,R,None,None_42
304,R,None,None_43
305,R,None,None_44
306,R,None,None_45
312,R,None,None_46
314,R,None,None_47
1,L,Default,Default_1
4,L,Default,Default_2
6,L,Default,Default_3
25,L,Default,Default_4
26,L,Default,Default_5
44,L,Default,Default_6
94,L,Default,Default_7
114,L,Default,Default_8
116,L,Default,Default_9
117,L,Default,Default_10
126,L,Default,Default_11
127,L,Default,Default_12
145,L,Default,Default_13
146,L,Default,Default_14
150,L,Default,Default_15
151,L,Default,Default_16
152,L,Default,Default_17
154,L,Default,Default_18
156,L,Default,Default_19
157,L,Default,Default_20
162,R,Default,Default_21
165,R,Default,Default_22
184,R,Default,Default_23
186,R,Default,Default_24
200,R,Default,Default_25
220,R,Default,Default_26
225,R,Default,Default_27
257,R,Default,Default_28
259,R,Default,Default_29
278,R,Default,Default_30
279,R,Default,Default_31
290,R,Default,Default_32
315,R,Default,Default_33
316,R,Default,Default_34
321,R,Default,Default_35
322,R,Default,Default_36
323,R,Default,Default_37
324,R,Default,Default_38
325,R,Default,Default_39
326,R,Default,Default_40
331,R,Default,Default_41
13,L,ParietoOccip,ParietoOccip_1
14,L,ParietoOccip,ParietoOccip_2
130,L,ParietoOccip,ParietoOccip_3
143,L,ParietoOccip,ParietoOccip_4
174,R,ParietoOccip,ParietoOccip_5
294,R,ParietoOccip,ParietoOccip_6
295,R,ParietoOccip,ParietoOccip_7
313,R,ParietoOccip,ParietoOccip_8
7,L,FrontoParietal,FrontoParietal_1
9,L,FrontoParietal,FrontoParietal_2
24,L,FrontoParietal,FrontoParietal_3
78,L,FrontoParietal,FrontoParietal_4
96,L,FrontoParietal,FrontoParietal_5
108,L,FrontoParietal,FrontoParietal_6
109,L,FrontoParietal,FrontoParietal_7
148,L,FrontoParietal,FrontoParietal_8
149,L,FrontoParietal,FrontoParietal_9
167,R,FrontoParietal,FrontoParietal_10
168,R,FrontoParietal,FrontoParietal_11
170,R,FrontoParietal,FrontoParietal_12
182,R,FrontoParietal,FrontoParietal_13
240,R,FrontoParietal,FrontoParietal_14
260,R,FrontoParietal,FrontoParietal_15
261,R,FrontoParietal,FrontoParietal_16
272,R,FrontoParietal,FrontoParietal_17
273,R,FrontoParietal,FrontoParietal_18
276,R,FrontoParietal,FrontoParietal_19
277,R,FrontoParietal,FrontoParietal_20
319,R,FrontoParietal,FrontoParietal_21
320,R,FrontoParietal,FrontoParietal_22
327,R,FrontoParietal,FrontoParietal_23
328,R,FrontoParietal,FrontoParietal_24
29,L,Salience,Salience_1
83,L,Salience,Salience_2
183,R,Salience,Salience_3
247,R,Salience,Salience_4
21,L,CinguloOperc,CinguloOperc_1
22,L,CinguloOperc,CinguloOperc_2
27,L,CinguloOperc,CinguloOperc_3
28,L,CinguloOperc,CinguloOperc_4
34,L,CinguloOperc,CinguloOperc_5
40,L,CinguloOperc,CinguloOperc_6
63,L,CinguloOperc,CinguloOperc_7
71,L,CinguloOperc,CinguloOperc_8
72,L,CinguloOperc,CinguloOperc_9
76,L,CinguloOperc,CinguloOperc_10
81,L,CinguloOperc,CinguloOperc_11
82,L,CinguloOperc,CinguloOperc_12
84,L,CinguloOperc,CinguloOperc_13
101,L,CinguloOperc,CinguloOperc_14
103,L,CinguloOperc,CinguloOperc_15
105,L,CinguloOperc,CinguloOperc_16
111,L,CinguloOperc,CinguloOperc_17
112,L,CinguloOperc,CinguloOperc_18
147,L,CinguloOperc,CinguloOperc_19
153,L,CinguloOperc,CinguloOperc_20
180,R,CinguloOperc,CinguloOperc_21
181,R,CinguloOperc,CinguloOperc_22
