ParcelID,Hem,Community
181,L,V1_ROI
1,R,V1_ROI
182,L,MST_ROI
2,R,MST_ROI
183,L,V6_ROI
3,R,V6_ROI
184,L,V2_ROI
4,R,V2_ROI
185,L,V3_ROI
5,R,V3_ROI
186,L,V4_ROI
6,R,V4_ROI
187,L,V8_ROI
7,R,V8_ROI
188,L,4_ROI
8,R,4_ROI
189,L,3b_ROI
9,R,3b_ROI
190,L,FEF_ROI
10,R,FEF_ROI
191,L,PEF_ROI
11,R,PEF_ROI
192,L,55b_ROI
12,R,55b_ROI
193,L,V3A_ROI
13,R,V3A_ROI
194,L,RSC_ROI
14,R,RSC_ROI
195,L,POS2_ROI
15,R,POS2_ROI
196,L,V7_ROI
16,R,V7_ROI
197,L,IPS1_ROI
17,R,IPS1_ROI
198,L,FFC_ROI
18,R,FFC_ROI
199,L,V3B_ROI
19,R,V3B_ROI
200,L,LO1_ROI
20,R,LO1_ROI
201,L,LO2_ROI
21,R,LO2_ROI
202,L,PIT_ROI
22,R,PIT_ROI
203,L,MT_ROI
23,R,MT_ROI
204,L,A1_ROI
24,R,A1_ROI
205,L,PSL_ROI
25,R,PSL_ROI
206,L,SFL_ROI
26,R,SFL_ROI
207,L,PCV_ROI
27,R,PCV_ROI
208,L,STV_ROI
28,R,STV_ROI
209,L,7Pm_ROI
29,R,7Pm_ROI
210,L,7m_ROI
30,R,7m_ROI
211,L,POS1_ROI
31,R,POS1_ROI
212,L,23d_ROI
32,R,23d_ROI
213,L,v23ab_ROI
33,R,v23ab_ROI
214,L,d23ab_ROI
34,R,d23ab_ROI
215,L,31pv_ROI
35,R,31pv_ROI
216,L,5m_ROI
36,R,5m_ROI
217,L,5mv_ROI
37,R,5mv_ROI
218,L,23c_ROI
38,R,23c_ROI
219,L,5L_ROI
39,R,5L_ROI
220,L,24dd_ROI
40,R,24dd_ROI
221,L,24dv_ROI
41,R,24dv_ROI
222,L,7AL_ROI
42,R,7AL_ROI
223,L,SCEF_ROI
43,R,SCEF_ROI
224,L,6ma_ROI
44,R,6ma_ROI
225,L,7Am_ROI
45,R,7Am_ROI
226,L,7PL_ROI
46,R,7PL_ROI
227,L,7PC_ROI
47,R,7PC_ROI
228,L,LIPv_ROI
48,R,LIPv_ROI
229,L,VIP_ROI
49,R,VIP_ROI
230,L,MIP_ROI
50,R,MIP_ROI
231,L,1_ROI
51,R,1_ROI
232,L,2_ROI
52,R,2_ROI
233,L,3a_ROI
53,R,3a_ROI
234,L,6d_ROI
54,R,6d_ROI
235,L,6mp_ROI
55,R,6mp_ROI
236,L,6v_ROI
56,R,6v_ROI
237,L,p24pr_ROI
57,R,p24pr_ROI
238,L,33pr_ROI
58,R,33pr_ROI
239,L,a24pr_ROI
59,R,a24pr_ROI
240,L,p32pr_ROI
60,R,p32pr_ROI
241,L,a24_ROI
61,R,a24_ROI
242,L,d32_ROI
62,R,d32_ROI
243,L,8BM_ROI
63,R,8BM_ROI
244,L,p32_ROI
64,R,p32_ROI
245,L,10r_ROI
65,R,10r_ROI
246,L,47m_ROI
66,R,47m_ROI
247,L,8Av_ROI
67,R,8Av_ROI
248,L,8Ad_ROI
68,R,8Ad_ROI
249,L,9m_ROI
69,R,9m_ROI
250,L,8BL_ROI
70,R,8BL_ROI
251,L,9p_ROI
71,R,9p_ROI
252,L,10d_ROI
72,R,10d_ROI
253,L,8C_ROI
73,R,8C_ROI
254,L,44_ROI
74,R,44_ROI
255,L,45_ROI
75,R,45_ROI
256,L,47l_ROI
76,R,47l_ROI
257,L,a47r_ROI
77,R,a47r_ROI
258,L,6r_ROI
78,R,6r_ROI
259,L,IFJa_ROI
79,R,IFJa_ROI
260,L,IFJp_ROI
80,R,IFJp_ROI
261,L,IFSp_ROI
81,R,IFSp_ROI
262,L,IFSa_ROI
82,R,IFSa_ROI
263,L,p9-46v_ROI
83,R,p9-46v_ROI
264,L,46_ROI
84,R,46_ROI
265,L,a9-46v_ROI
85,R,a9-46v_ROI
266,L,9-46d_ROI
86,R,9-46d_ROI
267,L,9a_ROI
87,R,9a_ROI
268,L,10v_ROI
88,R,10v_ROI
269,L,a10p_ROI
89,R,a10p_ROI
270,L,10pp_ROI
90,R,10pp_ROI
271,L,11l_ROI
91,R,11l_ROI
272,L,13l_ROI
92,R,13l_ROI
273,L,OFC_ROI
93,R,OFC_ROI
274,L,47s_ROI
94,R,47s_ROI
275,L,LIPd_ROI
95,R,LIPd_ROI
276,L,6a_ROI
96,R,6a_ROI
277,L,i6-8_ROI
97,R,i6-8_ROI
278,L,s6-8_ROI
98,R,s6-8_ROI
279,L,43_ROI
99,R,43_ROI
280,L,OP4_ROI
100,R,OP4_ROI
281,L,OP1_ROI
101,R,OP1_ROI
282,L,OP2-3_ROI
102,R,OP2-3_ROI
283,L,52_ROI
103,R,52_ROI
284,L,RI_ROI
104,R,RI_ROI
285,L,PFcm_ROI
105,R,PFcm_ROI
286,L,PoI2_ROI
106,R,PoI2_ROI
287,L,TA2_ROI
107,R,TA2_ROI
288,L,FOP4_ROI
108,R,FOP4_ROI
289,L,MI_ROI
109,R,MI_ROI
290,L,Pir_ROI
110,R,Pir_ROI
291,L,AVI_ROI
111,R,AVI_ROI
292,L,AAIC_ROI
112,R,AAIC_ROI
293,L,FOP1_ROI
113,R,FOP1_ROI
294,L,FOP3_ROI
114,R,FOP3_ROI
295,L,FOP2_ROI
115,R,FOP2_ROI
296,L,PFt_ROI
116,R,PFt_ROI
297,L,AIP_ROI
117,R,AIP_ROI
298,L,EC_ROI
118,R,EC_ROI
299,L,PreS_ROI
119,R,PreS_ROI
300,L,H_ROI
120,R,H_ROI
301,L,ProS_ROI
121,R,ProS_ROI
302,L,PeEc_ROI
122,R,PeEc_ROI
303,L,STGa_ROI
123,R,STGa_ROI
304,L,PBelt_ROI
124,R,PBelt_ROI
305,L,A5_ROI
125,R,A5_ROI
306,L,PHA1_ROI
126,R,PHA1_ROI
307,L,PHA3_ROI
127,R,PHA3_ROI
308,L,STSda_ROI
128,R,STSda_ROI
309,L,STSdp_ROI
129,R,STSdp_ROI
310,L,STSvp_ROI
130,R,STSvp_ROI
311,L,TGd_ROI
131,R,TGd_ROI
312,L,TE1a_ROI
132,R,TE1a_ROI
313,L,TE1p_ROI
133,R,TE1p_ROI
314,L,TE2a_ROI
134,R,TE2a_ROI
315,L,TF_ROI
135,R,TF_ROI
316,L,TE2p_ROI
136,R,TE2p_ROI
317,L,PHT_ROI
137,R,PHT_ROI
318,L,PH_ROI
138,R,PH_ROI
319,L,TPOJ1_ROI
139,R,TPOJ1_ROI
320,L,TPOJ2_ROI
140,R,TPOJ2_ROI
321,L,TPOJ3_ROI
141,R,TPOJ3_ROI
322,L,DVT_ROI
142,R,DVT_ROI
323,L,PGp_ROI
143,R,PGp_ROI
324,L,IP2_ROI
144,R,IP2_ROI
325,L,IP1_ROI
145,R,IP1_ROI
326,L,IP0_ROI
146,R,IP0_ROI
327,L,PFop_ROI
147,R,PFop_ROI
328,L,PF_ROI
148,R,PF_ROI
329,L,PFm_ROI
149,R,PFm_ROI
330,L,PGi_ROI
150,R,PGi_ROI
331,L,PGs_ROI
151,R,PGs_ROI
332,L,V6A_ROI
152,R,V6A_ROI
333,L,VMV1_ROI
153,R,VMV1_ROI
334,L,VMV3_ROI
154,R,VMV3_ROI
335,L,PHA2_ROI
155,R,PHA2_ROI
336,L,V4t_ROI
156,R,V4t_ROI
337,L,FST_ROI
157,R,FST_ROI
338,L,V3CD_ROI
158,R,V3CD_ROI
339,L,LO3_ROI
159,R,LO3_ROI
340,L,VMV2_ROI
160,R,VMV2_ROI
341,L,31pd_ROI
161,R,31pd_ROI
342,L,31a_ROI
162,R,31a_ROI
343,L,VVC_ROI
163,R,VVC_ROI
344,L,25_ROI
164,R,25_ROI
345,L,s32_ROI
165,R,s32_ROI
346,L,pOFC_ROI
166,R,pOFC_ROI
347,L,PoI1_ROI
167,R,PoI1_ROI
348,L,Ig_ROI
168,R,Ig_ROI
349,L,FOP5_ROI
169,R,FOP5_ROI
350,L,p10p_ROI
170,R,p10p_ROI
351,L,p47r_ROI
171,R,p47r_ROI
352,L,TGv_ROI
172,R,TGv_ROI
353,L,MBelt_ROI
173,R,MBelt_ROI
354,L,LBelt_ROI
174,R,LBelt_ROI
355,L,A4_ROI
175,R,A4_ROI
356,L,STSva_ROI
176,R,STSva_ROI
357,L,TE1m_ROI
177,R,TE1m_ROI
358,L,PI_ROI
178,R,PI_ROI
359,L,a32pr_ROI
179,R,a32pr_ROI
360,L,p24_ROI
180,R,p24_ROI
